"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
50,"arm",1912,6.8,0.031479289589692,0.0307130741669091,16,25,0.2206881,0.4854268,0,3.2817149700273,1.23044892137827,1.41497334797082,3
51,"arms",6684,NA,0.0293888020923376,0.0608253837454733,15,22,0.2206881,0.3625701,0,3.825101411598,1.20411998265592,1.36172783601759,4
52,"arse",1,NA,NA,NA,NA,NA,0.2206881,0,0,0.301029995663981,NA,NA,4
53,"art",3920,4.6,0.0667481095588157,0.0407352506140452,25,33,0.2206881,0.3625701,0,3.59339684230021,1.41497334797082,1.53147891704226,3
54,"arts",1109,4,0.0458095087727436,0.0426806215884646,22,26,0.2206881,0.2344653,0,3.04532297878666,1.36172783601759,1.43136376415899,4
55,"as",255899,1.4,0.091018397788239,0.14260596234047,26,31,0.275751354691359,1.84799690655495,0.238786859587117,5.40807028588719,1.43136376415899,1.50514997831991,2
56,"ash",165,5.7,0.0125545405492979,0.0048051813984305,22,23,0.275751354691359,0.214124805352848,0.238786859587117,2.22010808804005,1.36172783601759,1.38021124171161,3
57,"ask",3500,2.7,0.0518719716548316,0.0701412943531417,13,14,0.275751354691359,0,0.238786859587117,3.54419211076503,1.14612803567824,1.17609125905568,3
58,"asked",10178,NA,-0.0273686415890574,0.0110018998705345,6,12,0.275751354691359,0,0.238786859587117,4.00770511436478,0.845098040014257,1.11394335230684,5
59,"asks",1711,NA,0.0529212130310145,0.0339199581407708,10,13,0.275751354691359,0,0.238786859587117,3.23350376034113,1.04139268515822,1.14612803567824,4
60,"asp",2,NA,0.0288658409404434,0.0198184935645107,13,9,0.275751354691359,0.222392421336448,0.238786859587117,0.477121254719662,1.14612803567824,1,3
61,"asps",0,NA,NA,NA,NA,NA,0.275751354691359,0.222392421336448,0.238786859587117,0,NA,NA,4
