"word","uncond.surprisal","uncond.entropy","uncond.ig","coda.cond.surprisal","coda.cond.entropy","coda.coda.ig","onset.cond.surprisal","onset.cond.entropy","onset.cond.ig","gpc.word"
"slouch",0.7481928,1.746596,0.998403,0.1926451,0.5435644,0.3509194,1.321928,0.9709506,-0.3509775,"s_s_ l_l_ ou_aU_ ch_tS_ "
"vouch",0.7481928,1.746596,0.998403,0.1926451,0.5435644,0.3509194,0,0,0,"v_v_ ou_aU_ ch_tS_ "
"trounced",0.7481928,1.746596,0.998403,0,0,0,1,1.5,0.5,"t_t_ r_r_ ou_aU_ n_n_ c_s_ ed_t_ "
"spouts",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"s_s_ p_p_ ou_aU_ t_t_ s_s_ "
"loused",0.7481928,1.746596,0.998403,0,0,0,0.5145732,1.15678,0.6422065,"l_l_ ou_aU_ s_s_ ed_t_ "
"souse",0.7481928,1.746596,0.998403,0,0,0,1.321928,1.705587,0.3836592,"s_s_ ou_aU_ s_s_ e_#_ "
"out",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"ou_aU_ t_t_ "
"outs",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"ou_aU_ t_t_ s_s_ "
"couch",0.7481928,1.746596,0.998403,0.1926451,0.5435644,0.3509194,1.137504,1.789929,0.6524256,"c_k_ ou_aU_ ch_tS_ "
"sloughed",3.500265,1.746596,-1.753669,0.5849625,0.9182958,0.3333333,0.7369656,0.9709506,0.233985,"s_s_ l_l_ ou_V_ gh_f_ ed_t_ "
"trough",5.16323,1.746596,-3.416634,1.736966,1.295462,-0.4415037,2,1.5,-0.5,"t_t_ r_r_ ou_O_ gh_f_ "
"toughs",3.500265,1.746596,-1.753669,0.7369656,0.9709506,0.233985,0.8073549,1.378783,0.5714286,"t_t_ ou_V_ gh_f_ s_s_ "
"proust",2.224631,1.746596,-0.478035,1.584963,0.9182958,-0.6666667,1,1,0,"p_p_ r_r_ ou_u_ s_s_ t_t_ "
"vouched",0.7481928,1.746596,0.998403,0.2223924,0.5916728,0.3692804,0,0,0,"v_v_ ou_aU_ ch_tS_ ed_t_ "
"hough",3.500265,1.746596,-1.753669,0.7369656,1.295462,0.5584963,2.321928,0.7219281,-1.6,"h_h_ ou_V_ gh_f_ "
"round",0.7481928,1.746596,0.998403,0.169925,0.5032583,0.3333333,1.099536,1.505823,0.4062874,"r_r_ ou_aU_ n_n_ d_d_ "
"shouts",0.7481928,1.746596,0.998403,0,0,0,1,1,0,"sh_S_ ou_aU_ t_t_ s_s_ "
"rough",3.500265,1.746596,-1.753669,0.7369656,1.295462,0.5584963,2.321928,1.505823,-0.816105,"r_r_ ou_V_ gh_f_ "
"mounts",0.7481928,1.746596,0.998403,0,0,0,0.7004397,1.238901,0.5384615,"m_m_ ou_aU_ n_n_ t_t_ s_s_ "
"coughs",5.16323,1.746596,-3.416634,1.321928,0.9709506,-0.3509775,1.874469,1.789929,-0.08454004,"c_k_ ou_O_ gh_f_ s_s_ "
"coughed",5.16323,1.746596,-3.416634,1.584963,0.9182958,-0.6666667,1.874469,1.789929,-0.08454004,"c_k_ ou_O_ gh_f_ ed_t_ "
"nous",0.7481928,1.746596,0.998403,1.584963,0.9182958,-0.6666667,0,0,0,"n_n_ ou_aU_ s_s_ "
"counts",0.7481928,1.746596,0.998403,0,0,0,1.137504,1.789929,0.6524256,"c_k_ ou_aU_ n_n_ t_t_ s_s_ "
"lounge",0.7481928,1.746596,0.998403,0,0,0,0.5145732,1.15678,0.6422065,"l_l_ ou_aU_ n_n_ g_dZ_ e_#_ "
"founts",0.7481928,1.746596,0.998403,0,0,0,0.1926451,0.5435644,0.3509194,"f_f_ ou_aU_ n_n_ t_t_ s_s_ "
"bouts",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"b_b_ ou_aU_ t_t_ s_s_ "
"grouch",0.7481928,1.746596,0.998403,0.1926451,0.5435644,0.3509194,0.7004397,0.9612366,0.2607969,"g_g_ r_r_ ou_aU_ ch_tS_ "
"rout",0.7481928,1.746596,0.998403,0,0,0,1.099536,1.505823,0.4062874,"r_r_ ou_aU_ t_t_ "
"soups",2.224631,1.746596,-0.478035,0,0,0,1.321928,1.705587,0.3836592,"s_s_ ou_u_ p_p_ s_s_ "
"routes",2.224631,1.746596,-0.478035,0,0,0,1.584963,1.505823,-0.0791394,"r_r_ ou_u_ t_t_ e_#_ s_s_ "
"doug",3.500265,1.746596,-1.753669,0,0,0,1.807355,1.378783,-0.4285714,"d_d_ ou_V_ g_g_ "
"pound's",0.7481928,1.746596,0.998403,0.1154772,0.3912436,0.2757663,0.2895066,0.6840384,0.3945318,"p_p_ ou_aU_ n_n_ d_d_ s_z_ "
"joule",2.224631,1.746596,-0.478035,0,0,0,1,1,0,"j_dZ_ ou_u_ l_5_ e_#_ "
"joules",2.224631,1.746596,-0.478035,0,0,0,1,1,0,"j_dZ_ ou_u_ l_5_ e_#_ s_z_ "
"groups",2.224631,1.746596,-0.478035,0,0,0,1.378512,0.9612366,-0.417275,"g_g_ r_r_ ou_u_ p_p_ s_s_ "
"flout",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"f_f_ l_l_ ou_aU_ t_t_ "
"tough",3.500265,1.746596,-1.753669,0.7369656,1.295462,0.5584963,0.8073549,1.378783,0.5714286,"t_t_ ou_V_ gh_f_ "
"roused",0.7481928,1.746596,0.998403,0,0,0,1.099536,1.505823,0.4062874,"r_r_ ou_aU_ s_z_ ed_d_ "
"route's",2.224631,1.746596,-0.478035,0,0,0,1.584963,1.505823,-0.0791394,"r_r_ ou_u_ t_t_ e_#_ s_s_ "
"slough",3.500265,1.746596,-1.753669,0.7369656,1.295462,0.5584963,0.7369656,0.9709506,0.233985,"s_s_ l_l_ ou_V_ gh_f_ "
"touched",3.500265,1.746596,-1.753669,2.807355,0.5916728,-2.215682,0.8073549,1.378783,0.5714286,"t_t_ ou_V_ ch_tS_ ed_t_ "
"bout",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"b_b_ ou_aU_ t_t_ "
"doug's",3.500265,1.746596,-1.753669,0,0,0,1.807355,1.378783,-0.4285714,"d_d_ ou_V_ g_g_ s_z_ "
"ground",0.7481928,1.746596,0.998403,0.169925,0.5032583,0.3333333,0.7004397,0.9612366,0.2607969,"g_g_ r_r_ ou_aU_ n_n_ d_d_ "
"moults",4.578268,1.746596,-2.831672,0,0,0,1.70044,1.238901,-0.4615385,"m_m_ ou_ou_ l_5_ t_t_ s_s_ "
"ousts",0.7481928,1.746596,0.998403,0,0,0,0,0,0,"ou_aU_ s_s_ t_t_ s_s_ "
