D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
aberrant,NA,-0.0191812555441796,NA,0.111008819535924,0,2
aberration,-0.0282920494661857,-0.0282920494661857,0.659356198015373,0.659356198015373,1,1
aberrations,-0.0282920494661857,-0.0282920494661857,0.659356198015373,0.659356198015373,1,1
abet,0.0252817835544669,0.024781921583996,0.0306657142101649,0.0334866415258725,6,7
abetted,NA,NA,0.126273846121419,0.157879350480058,3,6
abhor,0.0457093444159185,0.0457093444159185,0.516700561083945,0.516700561083945,1,2
abide,0.0365469897130008,0.0123977400158278,0.216751435724591,0.126925650325318,7,7
abides,NA,NA,0.228049082221198,0.235116766875304,6,4
abiding,0.0539804699139472,0.0194294274834966,0.163764775322656,0.0879589125522664,2,7
abilities,NA,0.696626926850578,NA,0.734881188654024,0,1
ability,0.404943053842876,0.550784990346727,0.141964223430931,0.581278324375675,2,2
abject,-0.000322997256300572,-0.000322997256300572,-0.00962926077402902,-0.00962926077402902,1,1
ablaze,0.408599515095431,0.169332027956199,0.246924825601082,0.15724793367059,2,2
able,-0.0202604769502241,-0.0266162055839947,-0.0188520840370181,0.0153658808046016,15,7
ably,0.0871737070371195,-0.0293137841211995,0.0163016189558507,0.059213226241298,4,3
abnormal,NA,0.578610329677995,NA,0.571288834244919,0,1
abnormalities,NA,0.216612966315012,NA,0.799803942955736,0,1
abnormality,NA,0.216612966315012,NA,0.799803942955736,0,1
