,index,model,residual,max_acc,k,code_name,cond,hidden_units,cleanup_units,p_noise,learning_rate
0,0,EQ2,0.11916722931251401,0.9999999999999999,5.618337753715204,64195080,HF_CON,50,5,0,0.0020000000000000013
1,0,EQ2,0.02184466663727836,0.9999999391243817,6.3571325502652725,64195080,LF_CON,50,5,0,0.0020000000000000013
2,0,EQ2,0.02542473752962251,0.9689323858292233,4.862457325456109,64195080,HF_INC,50,5,0,0.0020000000000000013
3,0,EQ2,0.08459463778503466,0.7151097452534407,4.574082227247232,64195080,LF_INC,50,5,0,0.0020000000000000013
4,0,EQ2,0.11610976256170225,0.9616159915930275,6.591314976478049,64195080,NW_UN,50,5,0,0.0020000000000000013
5,0,EQ2,0.07511848312485135,0.885627985751445,7.872238053875703,64195080,NW_AMB,50,5,0,0.0020000000000000013
6,0,EQ2,0.0811690945799929,0.981745467718939,7.050906085295352,64195085,HF_CON,100,5,0,0.0020000000000000013
7,0,EQ2,0.03364929313150136,0.9706127617588852,7.913429997705773,64195085,LF_CON,100,5,0,0.0020000000000000013
8,0,EQ2,0.013448554725183257,0.9897769984443935,5.194816487279287,64195085,HF_INC,100,5,0,0.0020000000000000013
9,0,EQ2,0.050327216789987334,0.7921174683864788,5.025432503163436,64195085,LF_INC,100,5,0,0.0020000000000000013
10,0,EQ2,0.13394531993724548,0.9405422279337816,7.34969822675259,64195085,NW_UN,100,5,0,0.0020000000000000013
11,0,EQ2,0.10778024540950486,0.8523615453066896,10.066595975553735,64195085,NW_AMB,100,5,0,0.0020000000000000013
12,0,EQ2,0.0792811010273063,0.9961705096606094,7.303694407448447,64195090,HF_CON,150,5,0,0.0020000000000000013
13,0,EQ2,0.022056792452455676,0.9674805542648471,9.67412868681208,64195090,LF_CON,150,5,0,0.0020000000000000013
14,0,EQ2,0.031136579266333828,0.9756979496673639,6.5889370710967485,64195090,HF_INC,150,5,0,0.0020000000000000013
15,0,EQ2,0.08364723858570236,0.7871547107347299,5.101881925865605,64195090,LF_INC,150,5,0,0.0020000000000000013
16,0,EQ2,0.08164095051294766,0.9241247994471284,9.359985327635247,64195090,NW_UN,150,5,0,0.0020000000000000013
17,0,EQ2,0.06292360838455485,0.8431125201735724,12.359867024134276,64195090,NW_AMB,150,5,0,0.0020000000000000013
18,0,EQ2,0.04342259509987215,0.9935539066042198,7.538942261522586,64195095,HF_CON,200,5,0,0.0020000000000000013
19,0,EQ2,0.04292917790866116,0.9921784803766504,9.295276564254422,64195095,LF_CON,200,5,0,0.0020000000000000013
20,0,EQ2,0.03850188273783049,0.9678018320270189,6.134295366919585,64195095,HF_INC,200,5,0,0.0020000000000000013
21,0,EQ2,0.11373930052980137,0.7335095668433198,6.086573282689715,64195095,LF_INC,200,5,0,0.0020000000000000013
22,0,EQ2,0.10892549861234348,0.9032637640432825,9.578799514951486,64195095,NW_UN,200,5,0,0.0020000000000000013
23,0,EQ2,0.08844679434147484,0.8490360626751607,11.827539971728129,64195095,NW_AMB,200,5,0,0.0020000000000000013
24,0,EQ2,0.042276962834989266,0.9962994858248008,8.203900192481251,64195100,HF_CON,250,5,0,0.0020000000000000013
25,0,EQ2,0.056065799932155776,0.9752775433671564,10.654280747136813,64195100,LF_CON,250,5,0,0.0020000000000000013
26,0,EQ2,0.05410825192498659,0.9352975829388671,6.046703193881178,64195100,HF_INC,250,5,0,0.0020000000000000013
27,0,EQ2,0.05907581314838834,0.6751910916450169,6.588176179428794,64195100,LF_INC,250,5,0,0.0020000000000000013
28,0,EQ2,0.05846173482627938,0.9269000156363979,9.856117483803986,64195100,NW_UN,250,5,0,0.0020000000000000013
29,0,EQ2,0.10631134398232742,0.8355663974512364,14.49727738884918,64195100,NW_AMB,250,5,0,0.0020000000000000013
30,0,EQ2,0.08258506768731899,0.9857824784387017,5.639978241120053,64195105,HF_CON,50,10,0,0.0020000000000000013
31,0,EQ2,0.06424600082547502,0.9649397377528095,6.913902094046821,64195105,LF_CON,50,10,0,0.0020000000000000013
32,0,EQ2,0.02351536910996785,0.9418970984663476,5.007467196364451,64195105,HF_INC,50,10,0,0.0020000000000000013
33,0,EQ2,0.049356457367640605,0.6390736663185208,5.99770911184543,64195105,LF_INC,50,10,0,0.0020000000000000013
34,0,EQ2,0.0584917328532177,0.8510608401990857,6.757213116632135,64195105,NW_UN,50,10,0,0.0020000000000000013
35,0,EQ2,0.13244990670577172,0.8369028680315205,8.760476017969282,64195105,NW_AMB,50,10,0,0.0020000000000000013
36,0,EQ2,0.060320488558863516,0.9999999999980612,6.599176630675773,64195110,HF_CON,100,10,0,0.0020000000000000013
37,0,EQ2,0.04488990413113553,0.9999999999744301,7.952654279761583,64195110,LF_CON,100,10,0,0.0020000000000000013
38,0,EQ2,0.035769073565955184,0.9693099755996133,5.701358789100055,64195110,HF_INC,100,10,0,0.0020000000000000013
39,0,EQ2,0.09573558203681491,0.7820540924526448,4.817773103004863,64195110,LF_INC,100,10,0,0.0020000000000000013
40,0,EQ2,0.09095701637403787,0.9170838248525804,7.751624573856013,64195110,NW_UN,100,10,0,0.0020000000000000013
41,0,EQ2,0.15331435422801137,0.8180421554467352,10.988418616108648,64195110,NW_AMB,100,10,0,0.0020000000000000013
42,0,EQ2,0.028272285378737057,0.986512153855895,7.642476179204437,64195115,HF_CON,150,10,0,0.0020000000000000013
43,0,EQ2,0.03217330150222696,0.998990032488635,8.770379391477107,64195115,LF_CON,150,10,0,0.0020000000000000013
44,0,EQ2,0.041294605721023045,0.9599615266790623,6.094091613562235,64195115,HF_INC,150,10,0,0.0020000000000000013
