,index,model,residual,max_acc,k,i,code_name,cond,hidden_units,cleanup_units,p_noise,learning_rate
0,0,EQ3,0.02530741214814246,0.9592661059648323,34.96353005439326,1.7612802488257249,64195080,HF_CON,50,5,0,0.0020000000000000013
1,0,EQ3,0.020329713615866888,0.9843314988133828,8.57394828929095,1.1170945151539795,64195080,LF_CON,50,5,0,0.0020000000000000013
2,0,EQ3,0.02501247393837895,0.9433943514682994,6.898174347032392,1.15427176911461,64195080,HF_INC,50,5,0,0.0020000000000000013
3,0,EQ3,0.05809788574714031,0.9191577941647069,1.7420319754757128,0.6952076652163535,64195080,LF_INC,50,5,0,0.0020000000000000013
4,0,EQ3,0.009818710959680909,0.9281745399548897,62.04494233476814,1.9015410322324853,64195080,NW_UN,50,5,0,0.0020000000000000013
5,0,EQ3,0.021671316809291224,0.8575262497861207,61.313977516867034,1.775323759272444,64195080,NW_AMB,50,5,0,0.0020000000000000013
6,0,EQ3,0.030070050392686776,0.9437425086588743,54.82690276572501,1.7911213082958215,64195085,HF_CON,100,5,0,0.0020000000000000013
7,0,EQ3,0.03335953314013514,0.9667551078977493,8.660489333706982,1.0329323304587006,64195085,LF_CON,100,5,0,0.0020000000000000013
8,0,EQ3,0.022538197895770017,0.9797447492754013,5.926833831368056,1.0612394019703297,64195085,HF_INC,100,5,0,0.0020000000000000013
9,0,EQ3,0.030168438894129925,0.9280230443980738,2.2989670681008927,0.7384347132930352,64195085,LF_INC,100,5,0,0.0020000000000000013
10,0,EQ3,0.03384692882680902,0.9123586780759342,80.04620705300799,1.9355234948449602,64195085,NW_UN,100,5,0,0.0020000000000000013
11,0,EQ3,0.05122597809671195,0.8365711643752803,101.14145844667513,1.871897460653532,64195085,NW_AMB,100,5,0,0.0020000000000000013
12,0,EQ3,0.026739740800001213,0.9622411294948215,40.642014404153194,1.6539195577321038,64195090,HF_CON,150,5,0,0.0020000000000000013
13,0,EQ3,0.02591819175212794,0.9581479867090971,13.784722706893767,1.1282547193852568,64195090,LF_CON,150,5,0,0.0020000000000000013
14,0,EQ3,0.045127898788854454,0.9870602169983111,5.731330295351774,0.957913336512659,64195090,HF_INC,150,5,0,0.0020000000000000013
15,0,EQ3,0.035352882527019326,0.9999999999999999,1.826642536349968,0.6697307439545581,64195090,LF_INC,150,5,0,0.0020000000000000013
16,0,EQ3,0.032434355147823626,0.9054848973820584,50.27547903748265,1.6296822385535823,64195090,NW_UN,150,5,0,0.0020000000000000013
17,0,EQ3,0.021703465542353192,0.8252396596135088,95.63420198820374,1.7251427536429635,64195090,NW_AMB,150,5,0,0.0020000000000000013
18,0,EQ3,0.01464159562788853,0.967924887808805,22.82106878414194,1.42420025772619,64195095,HF_CON,200,5,0,0.0020000000000000013
19,0,EQ3,0.04405003928340393,0.9804340926673946,14.044688349969077,1.1489194843986006,64195095,LF_CON,200,5,0,0.0020000000000000013
20,0,EQ3,0.03518756624379835,0.9957785906141006,4.562672903214329,0.8920324354511938,64195095,HF_INC,200,5,0,0.0020000000000000013
21,0,EQ3,0.04603517426074774,0.9999999999999968,1.6242967070862169,0.6080700262787626,64195095,LF_INC,200,5,0,0.0020000000000000013
22,0,EQ3,0.029736237734659377,0.8835845874851035,100.50713551467925,1.8771375997752906,64195095,NW_UN,200,5,0,0.0020000000000000013
23,0,EQ3,0.03098390587419539,0.8292897022065424,118.76835670206127,1.8209598634564288,64195095,NW_AMB,200,5,0,0.0020000000000000013
24,0,EQ3,0.02867294075379866,0.9766169295281059,18.146923346623115,1.2976059563072193,64195100,HF_CON,250,5,0,0.0020000000000000013
25,0,EQ3,0.055952535922969865,0.9729819716339378,11.473735639789275,1.025267546441527,64195100,LF_CON,250,5,0,0.0020000000000000013
26,0,EQ3,0.038442485804235045,0.997412345832937,3.553226596534618,0.8084939264595783,64195100,HF_INC,250,5,0,0.0020000000000000013
27,0,EQ3,0.030610070730188937,0.8485846904395097,2.025175685128412,0.6407381870401643,64195100,LF_INC,250,5,0,0.0020000000000000013
28,0,EQ3,0.03836015000773528,0.9109084643804565,29.37098912795714,1.401508854369272,64195100,NW_UN,250,5,0,0.0020000000000000013
29,0,EQ3,0.05841296653545375,0.8189115230291758,125.061678827661,1.7500302736591697,64195100,NW_AMB,250,5,0,0.0020000000000000013
30,0,EQ3,0.028943685980679715,0.9382762388173359,25.50741224287134,1.6116636995299884,64195105,HF_CON,50,10,0,0.0020000000000000013
31,0,EQ3,0.05790891739587669,0.9463665780500095,11.058374451769085,1.1797910512081682,64195105,LF_CON,50,10,0,0.0020000000000000013
32,0,EQ3,0.02736890023039596,0.9223107334407517,6.512407431026728,1.1138666473424041,64195105,HF_INC,50,10,0,0.0020000000000000013
33,0,EQ3,0.038058042334167916,0.7279164203561111,2.702136948494457,0.7430651841216048,64195105,LF_INC,50,10,0,0.0020000000000000013
34,0,EQ3,0.01229706338390687,0.826149735676935,27.17790633345113,1.5595286233248078,64195105,NW_UN,50,10,0,0.0020000000000000013
35,0,EQ3,0.026211567944414527,0.8253755549887211,128.95282732543788,2.0647974727145635,64195105,NW_AMB,50,10,0,0.0020000000000000013
36,0,EQ3,0.01926609503432114,0.9818095785808699,19.731535548321887,1.4438989184543796,64195110,HF_CON,100,10,0,0.0020000000000000013
37,0,EQ3,0.0379001674401985,0.9860976837113085,12.95360322960824,1.1797444176084453,64195110,LF_CON,100,10,0,0.0020000000000000013
38,0,EQ3,0.035531909885204584,0.9826173104317133,4.920617723473482,0.944214669825661,64195110,HF_INC,100,10,0,0.0020000000000000013
