cond,code_name,epoch,hidden_units,cleanup_units,p_noise,learning_rate,score
HF_CON,64756293,1.0,150,15,2,0.005999999999999916,0.9787600000000016
HF_INC,64756293,1.0,150,15,2,0.005999999999999916,0.9673800000000013
LF_CON,64756293,1.0,150,15,2,0.005999999999999916,0.9817800000000012
LF_INC,64756293,1.0,150,15,2,0.005999999999999916,0.8844000000000019
NW_AMB,64756293,1.0,150,15,2,0.005999999999999916,0.8069333333333357
NW_UN,64756293,1.0,150,15,2,0.005999999999999916,0.8781599999999987
