,index,model,adj_residual,max_acc,k,x0,code_name,cond,hidden_units,cleanup_units,p_noise,learning_rate
0,0,EQ1,0.017528301881678792,0.973169683143016,10.313035804623956,0.03426550182925038,64195080,HF_CON,50,5,0,0.0020000000000000013
1,0,EQ1,0.013854162313858324,0.9923455588837733,7.130877600922035,0.009243430283824789,64195080,LF_CON,50,5,0,0.0020000000000000013
2,0,EQ1,0.021431740260182575,0.9546917528606749,5.564611696359277,0.011183975891616259,64195080,HF_INC,50,5,0,0.0020000000000000013
3,0,EQ1,0.08819373072963825,0.7062261474430617,5.17000868451736,1.56663438257894e-19,64195080,LF_INC,50,5,0,0.0020000000000000013
4,0,EQ1,0.04803115165834247,0.9345479613222183,8.862057966314032,0.022345890753703957,64195080,NW_UN,50,5,0,0.0020000000000000013
5,0,EQ1,0.020227610597061935,0.8785593230366139,11.792495786780584,0.02161017807885076,64195080,NW_AMB,50,5,0,0.0020000000000000013
6,0,EQ1,0.026680945698965144,0.9661116816983848,10.552339702463302,0.02469937160824026,64195085,HF_CON,100,5,0,0.0020000000000000013
7,0,EQ1,0.03175375790939136,0.9724185412094407,8.089597414213683,0.0048912654703117744,64195085,LF_CON,100,5,0,0.0020000000000000013
8,0,EQ1,0.013721120238130127,0.9851888140867949,5.175688263045339,2.551282987861146e-09,64195085,HF_INC,100,5,0,0.0020000000000000013
9,0,EQ1,0.05065598748766576,0.7875550276182512,5.209566741595368,8.376353657842129e-20,64195085,LF_INC,100,5,0,0.0020000000000000013
10,0,EQ1,0.06703144239154031,0.9274322213134993,9.783756579410111,0.019483505445294015,64195085,NW_UN,100,5,0,0.0020000000000000013
11,0,EQ1,0.06043926045679317,0.8541577333051009,14.636235453713667,0.02128543741847824,64195085,NW_AMB,100,5,0,0.0020000000000000013
12,0,EQ1,0.031025801567126674,0.9841284359269882,10.047843238119547,0.01855819724517293,64195090,HF_CON,150,5,0,0.0020000000000000013
13,0,EQ1,0.01672468968905784,0.9688838945272695,11.622983003507374,0.009426964625745606,64195090,LF_CON,150,5,0,0.0020000000000000013
14,0,EQ1,0.0344860136264419,0.97828643301592,6.9659927297216475,1.162498337018281e-14,64195090,HF_INC,150,5,0,0.0020000000000000013
15,0,EQ1,0.08495652754921434,0.7687304223711076,5.466807829359974,4.2002698313193517e-19,64195090,LF_INC,150,5,0,0.0020000000000000013
16,0,EQ1,0.041379692582715545,0.9183338753067393,11.976695218288686,0.015802621170315723,64195090,NW_UN,150,5,0,0.0020000000000000013
17,0,EQ1,0.023566083296044538,0.8348476863518338,18.558351732959338,0.018570460195314553,64195090,NW_AMB,150,5,0,0.0020000000000000013
18,0,EQ1,0.01380924207146356,0.9811656776359602,9.94777439814907,0.01673192431448608,64195095,HF_CON,200,5,0,0.0020000000000000013
19,0,EQ1,0.035961858899133885,0.9924245540296929,13.178483007321354,0.015260049378863348,64195095,LF_CON,200,5,0,0.0020000000000000013
20,0,EQ1,0.040129072975414105,0.9757269047616387,6.272432239227604,1.0459673350076744e-17,64195095,HF_INC,200,5,0,0.0020000000000000013
21,0,EQ1,0.11989883037012111,0.750278481058041,6.417488147480642,6.143383719573413e-29,64195095,LF_INC,200,5,0,0.0020000000000000013
22,0,EQ1,0.03836814450049618,0.8841763298818485,16.56594560847205,0.023976029585704176,64195095,NW_UN,200,5,0,0.0020000000000000013
23,0,EQ1,0.025889762440889044,0.8307409300360475,19.12972457583644,0.021066195248107412,64195095,NW_AMB,200,5,0,0.0020000000000000013
24,0,EQ1,0.021462524847581908,0.9849725751987927,10.724243807587465,0.014975423453868316,64195100,HF_CON,250,5,0,0.0020000000000000013
25,0,EQ1,0.049850761291466775,0.9833594939747055,11.922330430813426,0.00726711642979308,64195100,LF_CON,250,5,0,0.0020000000000000013
26,0,EQ1,0.05738235014628094,0.9482793065097443,6.208145490263921,7.205825276021183e-17,64195100,HF_INC,250,5,0,0.0020000000000000013
27,0,EQ1,0.05963826482290449,0.6668432209728634,6.946288696594395,4.280376557841011e-21,64195100,LF_INC,250,5,0,0.0020000000000000013
28,0,EQ1,0.03815698910980554,0.9207646990614886,11.839894265932736,0.011920797045757216,64195100,NW_UN,250,5,0,0.0020000000000000013
29,0,EQ1,0.0612149244674021,0.8242808389145043,21.6320824751486,0.016105879084533876,64195100,NW_AMB,250,5,0,0.0020000000000000013
30,0,EQ1,0.023420242648446016,0.9711505055182648,8.621818702119254,0.0272882652627019,64195105,HF_CON,50,10,0,0.0020000000000000013
31,0,EQ1,0.056047781450808985,0.963032637701506,8.940669380381262,0.015124199685250935,64195105,LF_CON,50,10,0,0.0020000000000000013
32,0,EQ1,0.02317602615009525,0.9387300266125872,5.662957892225738,0.008872555805304869,64195105,HF_INC,50,10,0,0.0020000000000000013
33,0,EQ1,0.049421300330192264,0.6358764805654336,6.10815964841122,9.205616770645024e-32,64195105,LF_INC,50,10,0,0.0020000000000000013
34,0,EQ1,0.02217349120716046,0.8463706884346104,8.906115112278512,0.020101220157668555,64195105,NW_UN,50,10,0,0.0020000000000000013
35,0,EQ1,0.056074345293987915,0.8136230004636612,14.380511224691098,0.027572071520787163,64195105,NW_AMB,50,10,0,0.0020000000000000013
36,0,EQ1,0.01576835660353856,0.9922168756936786,9.553169731162587,0.02110214267780013,64195110,HF_CON,100,10,0,0.0020000000000000013
37,0,EQ1,0.027940074171337138,0.9981038140592043,10.358122225325971,0.012424395748052625,64195110,LF_CON,100,10,0,0.0020000000000000013
