epoch,timetick,intercept,os,op,ps,wf,wlen,ons,pns,os_op,os_ps,op_ps,os_op_ps,convert,model
10,12,2.2295967731263,-0.0848471581061653,-0.75086211333419,-0.00539191875634238,0.642754089644922,0.118392233056735,0.389396945151427,0.116076349738136,0.0466113186624107,-0.0112249709071377,0.0132608990479647,0.0139660599992498,TRUE,1
10,6,1.17733032499242,-0.205290838822952,-1.01461970570467,0.138366150616949,0.336311018206762,0.242157052480931,0.311416358503606,0.30407769607172,-0.0331619572859407,-0.0383778211382727,-0.0447873945131915,0.0197271872184791,TRUE,1
100,12,6.42775902636219,0.0870976447297706,-0.402586258153476,-0.236184763953844,1.73445862637049,-0.0696856966489711,0.121024546000349,-0.00710219565828417,0.00559679343319435,0.0413937898091231,0.0932597529135884,-0.0469054587457045,TRUE,1
100,2,5.10195327305369,-0.115935370648955,-1.26862017582637,0.0248627755213654,0.962200812801327,0.0375197674623832,0.448489443160753,0.0489534594452612,0.06302867086577,-0.0153690301267395,-0.0397157879966067,0.0427911035100637,TRUE,1
100,6,7.09745630155629,0.120182574199934,-0.707026145900369,-0.271454829379516,1.89619669741592,-0.0342129501671355,0.236982727044466,-0.193734404735258,0.0928012107071086,0.0138258960608287,0.0461921000137918,-0.00392249427863158,TRUE,1
150,12,8.20988186906874,0.0626528683365804,-0.341472053209812,-0.230183489455342,2.58582503015368,-0.116175880192251,0.013674732316535,0.0144299044377493,0.0246332838934679,0.0316854511041968,0.079113043317253,-0.0429962798679383,TRUE,1
150,2,6.45451737769564,-0.0534025193971186,-1.03913619860733,-0.00540862839033965,1.45666547397708,0.0414861761764391,0.408109124287161,0.0163126314935085,0.111875261038438,-0.00296545776562677,-0.00911000764446895,0.0288180437338459,TRUE,1
150,6,9.71967800327745,0.314106441393286,-0.729303299084872,-0.312646401860146,3.04490277273412,-0.210091683408884,-0.0138161566030685,-0.0308867006564085,-0.122093633174815,0.030926369195898,0.373455816961211,-0.0570598271543354,TRUE,1
20,12,3.71483733642311,-0.0757822101725562,-0.639694917478025,0.0359719574617763,0.997492858280387,0.112474656111808,0.297458815793084,0.0908288761992691,0.0646789097557572,0.0067821408642468,0.0231232561715282,0.000406326638598172,TRUE,1
20,2,-3.94962667227349,0.0086364721810828,-0.550971371755437,0.0568233583353763,0.249834284474334,-0.0254742221247266,0.135589547333663,0.463650278220443,0.118902224526211,-0.0387132720267326,-0.00799853144836229,-0.148652053429758,TRUE,1
20,6,3.10681007503218,-0.175025269688437,-1.15601082781196,0.00287816374972767,0.60439109071327,0.15823158916191,0.409556948461716,0.125809924343544,0.0151347354460217,-0.0181321744967923,0.0252282045445965,0.0182811456627395,TRUE,1
200,12,9.88867522083201,0.0661233093094551,-0.37593700942155,-0.364394491014636,3.5309347467157,-0.155479811177808,0.0338499331840661,0.0510731327361906,-0.0822794077177963,0.124378820271401,-0.123552228163598,0.19211325826511,TRUE,1
200,2,7.34407856860563,-0.11352348812026,-0.938302866286172,-0.203138204556492,1.85355294011678,0.0599037856511694,0.302853588108146,-0.0777457832870547,0.0824367942397776,0.0333455109493943,0.102359456599932,-0.0135613606110754,TRUE,1
200,6,11.6264060420046,0.392708086347551,-0.605772118744759,-0.510776564361779,4.03639737286986,-0.0527638423114266,-0.171278454543654,0.351187342340056,-0.216552817733958,0.0988559130506878,0.264805033856812,-0.10796371870547,TRUE,1
3,12,-1.02460293375833,-0.188649126346073,-0.614155241222746,0.0950796846797858,0.135148835704304,0.114692523390302,0.265135484968366,0.489823245260844,-0.0264752938435059,0.00395860536975931,-0.066121490948496,0.0248886889082464,TRUE,1
3,6,-2.0774676976907,-0.0703022551251264,-0.475479657038633,-0.0718731306028341,0.124228931187464,0.274788498550843,0.235520844216853,0.794881083050981,-0.0124374393221423,-0.00272096474111219,-0.108720909825605,-0.00887346978604199,TRUE,1
5,12,0.361923359866698,-0.164742402132494,-0.796073134817066,0.0677113717957681,0.335261378309075,0.146418663504621,0.385358784123229,0.296363036361218,0.0189671101352138,-0.0184620239977851,-0.0411766879132855,0.0303918441747618,TRUE,1
5,6,-0.570290566694602,-0.123158445573606,-0.808592413781863,0.0417509252841715,0.192768672576459,0.264965523540814,0.310159416924538,0.671018326722535,-0.017504335164191,-0.0219949526135939,-0.0317336281852897,-0.00657826194774668,TRUE,1
