,epoch,corpus_size
0,0,0
1,1,452
2,2,565
3,3,678
4,4,791
5,5,901
6,6,1015
7,7,1128
8,8,1228
9,9,1347
10,10,1458
11,11,1568
12,12,1685
13,13,1791
14,14,1901
15,15,2007
16,16,2118
17,17,2240
18,18,2341
19,19,2458
20,20,2554
21,21,2651
22,22,2764
23,23,2854
24,24,2970
25,25,3092
26,26,3202
27,27,3313
28,28,3424
29,29,3522
30,30,3612
31,31,3719
32,32,3835
33,33,3927
34,34,4027
35,35,4129
36,36,4233
37,37,4329
38,38,4422
39,39,4542
40,40,4643
41,41,4721
42,42,4804
43,43,4892
44,44,4976
45,45,5060
46,46,5129
47,47,5187
48,48,5225
49,49,5262
50,50,5292
51,51,5319
52,52,5343
53,53,5356
54,54,5375
55,55,5385
56,56,5404
57,57,5416
58,58,5429
59,59,5436
60,60,5445
61,61,5452
62,62,5455
63,63,5459
64,64,5462
65,65,5465
66,66,5471
67,67,5474
68,68,5479
69,69,5482
70,70,5483
71,71,5485
72,72,5486
73,73,5488
74,74,5489
75,75,5491
76,76,5491
77,77,5492
78,78,5493
79,79,5495
80,80,5495
81,81,5496
82,82,5496
83,83,5496
84,84,5496
85,85,5496
86,86,5497
87,87,5497
88,88,5497
89,89,5497
90,90,5497
91,91,5497
92,92,5497
93,93,5498
94,94,5498
95,95,5498
96,96,5498
97,97,5498
98,98,5498
99,99,5498
100,100,5499
