,epoch,corpus_size
0,0,0
1,1,454
2,2,566
3,3,682
4,4,793
5,5,902
6,6,1021
7,7,1130
8,8,1243
9,9,1354
10,10,1467
11,11,1572
12,12,1686
13,13,1796
14,14,1905
15,15,2019
16,16,2137
17,17,2250
18,18,2362
19,19,2469
20,20,2567
21,21,2677
22,22,2790
23,23,2894
24,24,2996
25,25,3110
26,26,3206
27,27,3303
28,28,3418
29,29,3526
30,30,3649
31,31,3751
32,32,3861
33,33,3961
34,34,4069
35,35,4170
36,36,4272
37,37,4376
38,38,4465
39,39,4560
40,40,4658
41,41,4754
42,42,4845
43,43,4942
44,44,5019
45,45,5093
46,46,5154
47,47,5200
48,48,5252
49,49,5292
50,50,5314
51,51,5342
52,52,5365
53,53,5384
54,54,5405
55,55,5421
56,56,5432
57,57,5441
58,58,5450
59,59,5452
60,60,5456
61,61,5460
62,62,5465
63,63,5468
64,64,5476
65,65,5478
66,66,5481
67,67,5482
68,68,5484
69,69,5485
70,70,5488
71,71,5491
72,72,5493
73,73,5493
74,74,5494
75,75,5495
76,76,5496
77,77,5496
78,78,5498
79,79,5498
80,80,5498
81,81,5498
82,82,5498
83,83,5499
84,84,5500
85,85,5501
86,86,5501
87,87,5501
88,88,5501
89,89,5501
90,90,5501
91,91,5501
92,92,5501
93,93,5501
94,94,5501
95,95,5501
96,96,5501
97,97,5501
98,98,5501
99,99,5501
100,100,5501
