,word,img,n_features,wf
185,boot,6.9,16.0,187.0
186,booth,5.6,11.0,226.0
187,booze,5.9,8.0,54.0
188,boss,5.1,9.0,1098.0
189,botch,2.4,4.0,6.0
190,both,2.3,10.0,25695.0
191,bough,2.0,9.0,2.0
192,bought,3.2,5.0,8447.0
193,bounce,4.7,6.0,272.0
194,bound,3.3,6.0,1064.0
195,bout,1.8,3.0,209.0
196,bowl,6.3,9.0,462.0
197,box,6.7,8.0,1497.0
198,boy,6.2,9.0,1055.0
199,bra,6.6,22.0,36.0
200,brace,4.8,7.0,280.0
201,brag,3.1,9.0,47.0
202,braid,5.9,6.0,7.0
203,brain,6.4,6.0,712.0
204,braise,2.0,5.0,0.0
205,brake,5.3,7.0,347.0
206,bran,3.2,7.0,69.0
207,branch,6.0,7.0,2389.0
208,brand,3.9,7.0,2511.0
209,brash,2.3,8.0,111.0
210,brass,5.8,7.0,291.0
211,brat,5.0,13.0,27.0
212,brave,3.3,7.0,197.0
213,brawl,4.1,3.0,47.0
214,braze,2.3,5.0,0.0
215,breach,3.3,4.0,672.0
216,bread,6.2,8.0,457.0
217,breadth,1.8,5.0,153.0
218,break,4.5,5.0,3571.0
219,breast,6.7,5.0,288.0
220,breath,5.0,9.0,245.0
221,breathe,3.8,6.0,136.0
222,breech,2.8,5.0,11.0
223,breed,3.9,4.0,320.0
224,breeze,4.4,7.0,98.0
225,brew,4.6,8.0,94.0
226,bribe,3.7,7.0,182.0
227,brick,6.6,4.0,301.0
228,bride,6.4,10.0,102.0
229,bridge,6.7,10.0,1301.0
230,brief,2.5,7.0,1710.0
231,bright,4.4,5.0,974.0
232,brim,3.8,6.0,23.0
233,bring,2.6,6.0,5246.0
234,brink,3.1,6.0,242.0
235,brisk,2.6,6.0,557.0
236,broach,4.0,9.0,10.0
237,broad,3.3,8.0,3234.0
238,broil,4.3,5.0,2.0
239,broke,3.7,7.0,1956.0
240,bronze,5.6,7.0,144.0
241,brooch,3.3,8.0,8.0
242,brood,3.2,6.0,24.0
243,brook,5.8,9.0,281.0
244,broom,6.6,5.0,44.0
245,broth,4.5,11.0,7.0
246,brought,2.1,7.0,5436.0
247,brow,4.8,6.0,27.0
248,brown,5.8,7.0,3173.0
249,bruise,6.3,6.0,10.0
250,brunch,3.8,12.0,28.0
251,brunt,2.1,5.0,145.0
252,brush,6.2,5.0,264.0
253,brute,4.0,11.0,33.0
254,buck,5.9,7.0,417.0
255,bud,4.9,7.0,242.0
256,budge,3.1,4.0,93.0
257,buff,4.0,6.0,74.0
258,bug,6.7,23.0,139.0
259,build,3.8,5.0,5376.0
260,built,3.4,6.0,4603.0
261,bulb,6.6,8.0,111.0
262,bulge,4.8,5.0,68.0
263,bulk,3.5,5.0,1205.0
264,bull,6.2,36.0,1391.0
265,bum,5.0,13.0,84.0
266,bump,4.9,6.0,95.0
267,bun,6.0,9.0,23.0
268,bunch,4.0,5.0,483.0
269,bunk,4.8,6.0,41.0
270,bunt,3.8,6.0,12.0
271,burl,1.8,7.0,5.0
272,burn,4.7,5.0,386.0
273,burp,4.7,9.0,10.0
274,burr,4.4,7.0,66.0
275,burst,3.5,7.0,373.0
276,bus,6.8,7.0,1045.0
277,bush,6.3,15.0,8190.0
278,bust,4.6,4.0,375.0
279,but,1.9,9.0,174118.0
280,butch,4.5,10.0,22.0
281,butt,6.3,8.0,76.0
282,buy,3.6,4.0,28793.0
283,buzz,4.0,6.0,76.0
284,by,1.6,9.0,243832.0
285,cab,6.7,14.0,152.0
286,cache,2.6,10.0,71.0
287,cage,6.4,6.0,112.0
288,cake,6.8,5.0,210.0
289,calf,6.5,10.0,70.0
290,call,4.4,5.0,7333.0
291,calm,2.8,6.0,696.0
292,calve,5.2,5.0,0.0
293,cam,2.6,7.0,96.0
294,came,2.4,8.0,10386.0
295,camp,6.4,9.0,1301.0
296,cane,6.4,6.0,124.0
297,cap,6.2,8.0,1067.0
298,cape,6.2,5.0,288.0
299,car,6.9,56.0,8623.0
300,card,6.4,6.0,3178.0
301,care,3.1,7.0,10293.0
302,carp,4.6,3.0,30.0
303,cart,6.0,17.0,103.0
